customer_id,customer_name,email,country
1,Maria Small,browndebbie@yahoo.com,Chile
2,Christy Phillips,nvaldez@yahoo.com,France
3,Heather Anderson,cartertravis@yahoo.com,Switzerland
4,Jamie Young,suzanneyang@young-johnson.org,Uganda
5,Linda Duarte,roblesalexis@grant-west.biz,Mexico
6,Brandon Stuart,christy11@scott.biz,Zambia
7,Jamie Newman,qgalvan@holloway-peters.com,Bhutan
8,David Becker,smithcynthia@gray.com,United States Minor Outlying Islands
9,Antonio Stark,michael24@dawson.info,Palestinian Territory
10,Angelica Christian,bacevedo@hotmail.com,Mauritius
11,Tonya Roman,boonestephanie@golden-lopez.com,Solomon Islands
12,Tracy Moore,shelleygomez@hotmail.com,Luxembourg
13,Betty Robbins,kristenlopez@fitzgerald.com,Portugal
14,Adam Craig,christopherraymond@wilson.biz,India
15,Hector Lopez,millerjustin@richards.info,Slovakia (Slovak Republic)
16,Paul Miller,williammacias@ruiz.com,Eritrea
17,Gregory Kennedy,amandaoneal@norman.com,Turkmenistan
18,Abigail Hall,darren89@hotmail.com,Norway
19,Melissa Moore,william20@rich-lewis.info,Bouvet Island (Bouvetoya)
20,Amanda Sosa,cheyennemorris@hotmail.com,Sierra Leone
21,Hannah Daniel,anthony32@gmail.com,Djibouti
22,Sally Weber,carlbaker@mccann.com,Cote d'Ivoire
23,Hannah Clark,montgomeryjohn@gmail.com,Malta
24,Jeffrey Lee,cheryl45@hall.org,Niue
25,Angelica Horton,hickmanfrederick@gmail.com,Cambodia
26,Rachel Vasquez,miatapia@hotmail.com,Chad
27,Sandra Miller,jacob38@castaneda-brandt.net,Faroe Islands
28,Kristin Avila,brittanywolfe@yahoo.com,Bahamas
29,Michael Wells,belldaniel@sampson-miller.com,Guyana
30,Mark White,mooreheather@yahoo.com,French Southern Territories
31,Lisa Wright,shunter@johnson.biz,Gabon
32,Kimberly Villarreal,carl91@shepard.info,Belarus
33,Melody Baxter,amandanoble@gmail.com,Iceland
34,Adam Wilson,carterricardo@rios.net,Belarus
35,Jackson Davis V,johnny97@yahoo.com,Cote d'Ivoire
36,Stephen Jackson,megan53@gmail.com,Turks and Caicos Islands
37,Lori Tucker,cwolf@carney-glover.com,Malaysia
38,Brandi Kirk,umccarty@gmail.com,Qatar
39,Renee Dean,dmartinez@hart.net,Solomon Islands
40,Jill Palmer,sarah45@gmail.com,Svalbard & Jan Mayen Islands
